5.68434188608080e-14	320
69.2820323027551	280
138.564064605510	240
207.846096908265	200.000000000000
277.128129211020	160.000000000000
-69.2820323027550	280
2.84217094304040e-14	240
69.2820323027551	200
138.564064605510	160
207.846096908265	120.000000000000
277.128129211020	80.0000000000000
-138.564064605510	240
-69.2820323027551	200
2.84217094304040e-14	160
69.2820323027551	120
138.564064605510	80.0000000000000
207.846096908265	40.0000000000000
277.128129211020	-1.42108547152020e-14
-207.846096908265	200
-138.564064605510	160
-69.2820323027551	120
1.42108547152020e-14	80
69.2820323027551	40.0000000000000
138.564064605510	-7.10542735760100e-15
207.846096908265	-40.0000000000000
277.128129211020	-80.0000000000000
-277.128129211020	160
-207.846096908265	120
-138.564064605510	80
-69.2820323027551	40
0	0
69.2820323027551	-40
138.564064605510	-80
207.846096908265	-120
277.128129211020	-160
-277.128129211020	80.0000000000000
-207.846096908265	40.0000000000000
-138.564064605510	7.10542735760100e-15
-69.2820323027551	-40.0000000000000
-1.42108547152020e-14	-80
69.2820323027551	-120
138.564064605510	-160
207.846096908265	-200
-277.128129211020	1.42108547152020e-14
-207.846096908265	-40.0000000000000
-138.564064605510	-80.0000000000000
-69.2820323027551	-120
-2.84217094304040e-14	-160
69.2820323027551	-200
138.564064605510	-240
-277.128129211020	-80.0000000000000
-207.846096908265	-120.000000000000
-138.564064605510	-160
-69.2820323027551	-200
-2.84217094304040e-14	-240
69.2820323027550	-280
-277.128129211020	-160.000000000000
-207.846096908265	-200.000000000000
-138.564064605510	-240
-69.2820323027551	-280
-5.68434188608080e-14	-320
